               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075645,             0.02868,            0.029669,             0.12671,             0.30556,             0.17726,            0.060945,            0.018078,            0.014473,            0.011037,            0.070811,           0.0032432,           0.0032432
                   1,            0.047955,            0.024916,            0.024723,             0.13757,             0.48611,             0.39405,             0.17749,            0.018561,           0.0095385,              0.0077,             0.04016,           0.0059255,           0.0059255
                   2,            0.044514,            0.021007,            0.022111,             0.93819,             0.29167,              0.5181,             0.27136,            0.013745,           0.0070448,           0.0061392,           0.0088486,           0.0079477,           0.0079477
                   3,            0.037304,            0.019443,            0.018709,             0.54948,             0.52778,             0.41922,             0.17772,             0.01539,           0.0058261,           0.0064326,             0.00703,             0.00703,             0.00703
                   4,            0.036402,            0.016924,            0.016295,             0.71022,             0.59722,             0.59926,             0.32866,            0.014862,           0.0051851,           0.0058055,             0.00703,             0.00703,             0.00703
                   5,            0.032859,            0.017219,            0.013783,             0.82764,             0.58333,             0.68573,              0.2916,            0.011079,           0.0061081,           0.0045948,             0.00604,             0.00604,             0.00604
                   6,            0.031611,            0.015786,            0.011886,              0.8714,             0.51584,             0.71242,             0.47065,           0.0098117,            0.004797,           0.0046852,             0.00505,             0.00505,             0.00505
                   7,            0.027852,            0.015414,            0.010021,             0.75754,             0.87741,              0.9125,             0.63005,           0.0095041,           0.0045774,           0.0037076,             0.00406,             0.00406,             0.00406
                   8,            0.026402,            0.015019,           0.0094246,             0.79989,             0.94958,             0.93223,             0.71186,           0.0072798,           0.0044245,           0.0025482,             0.00307,             0.00307,             0.00307
                   9,            0.022824,            0.013915,           0.0075558,             0.86781,             0.97222,             0.94961,             0.62599,           0.0076826,           0.0044125,            0.001392,             0.00208,             0.00208,             0.00208
